=== MEDIAS APOS 10 ITERACOES ===
Acuracia media : 0.9775
Precisao media : 0.9692
Revocacao media: 0.9524
F1-Score medio : 0.9576

=== MEDIA DAS METRICAS POR CLASSE (10 iteracoes) ===
========== Dimensao das imagens: 16 x 16 ==========
=============== Sem Data Augmentation ==============
Classe  | Precisao  | Revocacao | F1-Score  | Suporte  
0       | 0.99      | 1.00      | 1.00      | 650      
1       | 0.96      | 1.00      | 0.98      | 200      
2       | 0.99      | 0.97      | 0.98      | 70       
3       | 0.99      | 0.93      | 0.96      | 300      
4       | 0.98      | 1.00      | 0.99      | 330      
5       | 1.00      | 0.96      | 0.98      | 80       
6       | 1.00      | 0.90      | 0.94      | 60       
7       | 1.00      | 0.98      | 0.99      | 130      
8       | 0.70      | 0.40      | 0.50      | 20       
9       | 0.99      | 0.95      | 0.97      | 730      
10      | 0.97      | 0.93      | 0.95      | 70       
11      | 0.99      | 1.00      | 0.99      | 190      
12      | 0.88      | 1.00      | 0.93      | 190      
13      | 1.00      | 1.00      | 1.00      | 100      
14      | 0.98      | 0.99      | 0.98      | 740      
15      | 0.97      | 0.99      | 0.98      | 410      
16      | 1.00      | 0.98      | 0.99      | 440      
17      | 0.97      | 0.93      | 0.95      | 70       
18      | 0.92      | 1.00      | 0.96      | 250      
19      | 1.00      | 1.00      | 1.00      | 40       
20      | 1.00      | 0.99      | 1.00      | 160      
21      | 1.00      | 0.96      | 0.98      | 170      
22      | 0.96      | 0.93      | 0.94      | 240      
23      | 1.00      | 1.00      | 1.00      | 210      
24      | 1.00      | 1.00      | 1.00      | 100      
